gcc, 1500, question1, 13.65
gcc, 1500, question2, 11.07
gcc, 1500, base, 13.94
gcc, 2000, question1, 31.41
gcc, 2000, question2, 28.73
gcc, 2000, base, 32.67
icx, 1500, question1, 2.06
icx, 1500, question2, 2.10
icx, 1500, base, 2.98
icx, 2000, question1, 11.34
icx, 2000, question2, 10.51
icx, 2000, base, 17.58
gcc, 1500, question1, 14.02
gcc, 1500, question2, 10.66
gcc, 1500, base, 14.47
gcc, 2000, question1, 30.62
gcc, 2000, question2, 25.53
gcc, 2000, base, 31.57
icx, 1500, question1, 2.45
icx, 1500, question2, 2.48
icx, 1500, base, 3.70
icx, 2000, question1, 11.98
icx, 2000, question2, 10.95
icx, 2000, base, 17.41
gcc, 1500, question1, 14.75
gcc, 1500, question2, 11.07
gcc, 1500, base, 13.86
gcc, 2000, question1, 32.18
gcc, 2000, question2, 26.95
gcc, 2000, base, 31.49
icx, 1500, question1, 2.50
icx, 1500, question2, 2.48
icx, 1500, base, 3.69
icx, 2000, question1, 11.87
icx, 2000, question2, 11.64
icx, 2000, base, 17.48
gcc, 1500, question1, 14.28
gcc, 1500, question2, 11.02
gcc, 1500, base, 14.03
gcc, 2000, question1, 33.09
gcc, 2000, question2, 27.51
gcc, 2000, base, 31.65
icx, 1500, question1, 2.53
icx, 1500, question2, 2.42
icx, 1500, base, 3.72
icx, 2000, question1, 12.00
icx, 2000, question2, 12.53
icx, 2000, base, 18.87
gcc, 1500, question1, 14.05
gcc, 1500, question2, 10.71
gcc, 1500, base, 13.34
gcc, 2000, question1, 30.58
gcc, 2000, question2, 26.45
gcc, 2000, base, 30.12
icx, 1500, question1, 2.25
icx, 1500, question2, 2.31
icx, 1500, base, 3.39
icx, 2000, question1, 11.81
icx, 2000, question2, 10.53
icx, 2000, base, 17.49
